Date,Model,Batch_Size,Epoch,Alpha,Ratio,Train_Accuracy,Test_Accuracy,F1_Score,Precision,Recall,comment
Fri May 29 23:17:18 2020,Teacher,64,10,0.91,0.5,0.8951576948165894,0.6238328145842597,0.6640190627482129,0.6897689768976898,0.6401225114854517,Labelled Dataset- Consist_cost btw noise target
Fri May 29 23:24:32 2020,Supervised_BILSTM,64,10,NaN,NaN,0.9316666722297668,0.6594041796353936,0.7283687943262411,0.678335535006605,0.7863705972434916,Labelled data_spacy
Sat May 30 00:06:58 2020,Student,64,10,0.91,0.5,0.9129275679588318,0.629613161405069,0.6435601198117243,0.7293889427740058,0.5758039816232772,LabelledDataset- Consist_cost btw noise target
Sat May 30 00:07:09 2020,Teacher,64,10,0.91,0.5,0.9129275679588318,0.6309470875944865,0.6403812824956673,0.7375249500998003,0.5658499234303216,Labelled Dataset- Consist_cost btw noise target
Sat May 30 00:14:57 2020,Supervised_BILSTM,64,10,NaN,NaN,0.8333333134651184,0.6589595375722543,0.7273373622467116,0.6788321167883211,0.7833078101071975,Labelled data_spacy
Sat May 30 00:57:09 2020,Student,64,10,0.92,0.5,0.9160373210906982,0.6224988883948421,0.6218262806236081,0.7433439829605963,0.5344563552833078,LabelledDataset- Consist_cost btw noise target
Sat May 30 00:57:20 2020,Teacher,64,10,0.92,0.5,0.9160373210906982,0.6518452645620275,0.6959223300970874,0.7060677698975572,0.6860643185298622,Labelled Dataset- Consist_cost btw noise target
Sat May 30 01:04:43 2020,Supervised_BILSTM,64,10,NaN,NaN,0.9211111068725586,0.6331702979101823,0.7365059086553817,0.6317808219178083,0.8828483920367535,Labelled data_spacy
Sat May 30 01:46:51 2020,Student,64,10,0.92,0.5,0.958240807056427,0.5998221431747444,0.5985727029438,0.7168803418803419,0.5137825421133231,LabelledDataset- Consist_cost btw noise target
Sat May 30 01:47:02 2020,Teacher,64,10,0.92,0.5,0.958240807056427,0.6207203201422855,0.6362473347547976,0.7179980750721848,0.5712098009188361,Labelled Dataset- Consist_cost btw noise target
Sat May 30 01:55:01 2020,Supervised_BILSTM,64,10,NaN,NaN,0.8755555748939514,0.611827478879502,0.7404103479036575,0.6052503646086533,0.9532924961715161,Labelled data_spacy
Sat May 30 02:39:19 2020,Student,64,10,0.92,0.5,0.9218125343322754,0.6473988439306358,0.7026621672290962,0.6884643644379133,0.7174578866768759,LabelledDataset- Consist_cost btw noise target
Sat May 30 02:39:31 2020,Teacher,64,10,0.92,0.5,0.9218125343322754,0.6416184971098265,0.6715566422167889,0.7177700348432056,0.6309341500765697,Labelled Dataset- Consist_cost btw noise target
Sat May 30 02:47:01 2020,Supervised_BILSTM,64,10,NaN,NaN,0.9005555510520935,0.6153846153846154,0.7409404013177597,0.6084604033448107,0.947166921898928,Labelled data_spacy
Sat May 30 03:27:48 2020,Student,64,10,0.93,0.5,0.9249222278594971,0.640284570920409,0.6739218057234986,0.7114893617021276,0.6401225114854517,LabelledDataset- Consist_cost btw noise target
Sat May 30 03:27:59 2020,Teacher,64,10,0.93,0.5,0.9249222278594971,0.6340595820364606,0.6693451185214946,0.7041420118343196,0.6378254211332313,Labelled Dataset- Consist_cost btw noise target
Sat May 30 03:35:05 2020,Supervised_BILSTM,64,10,NaN,NaN,0.9416666626930237,0.6416184971098265,0.6831761006289309,0.7019386106623586,0.6653905053598775,Labelled data_spacy
Sat May 30 04:15:35 2020,Student,64,10,0.93,0.5,0.8929364681243896,0.6309470875944865,0.6575907590759076,0.7128801431127012,0.610260336906585,LabelledDataset- Consist_cost btw noise target
Sat May 30 04:15:46 2020,Teacher,64,10,0.93,0.5,0.8929364681243896,0.6345042240995998,0.6663961038961039,0.7089810017271158,0.6286370597243491,Labelled Dataset- Consist_cost btw noise target
Sat May 30 04:22:49 2020,Supervised_BILSTM,64,10,NaN,NaN,0.9183333516120911,0.6393952867941307,0.6413091552410438,0.7591623036649214,0.5551301684532925,Labelled data_spacy
